tip-off,home_team,away_team,sportsbook,team,spread,odds,matchup,spread_score,spread_probability,win_score
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,DraftKings,Denver Nuggets,2.5,-115,Los Angeles Clippers @ Denver Nuggets,-2.5,0.5348837209302325,-0.9825581395348837
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,DraftKings,Los Angeles Clippers,-2.5,-115,Los Angeles Clippers @ Denver Nuggets,2.5,0.5348837209302325,1.5174418604651163
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,FanDuel,Denver Nuggets,1.5,-102,Los Angeles Clippers @ Denver Nuggets,-1.5,0.504950495049505,-0.4975247524752475
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,FanDuel,Los Angeles Clippers,-1.5,-130,Los Angeles Clippers @ Denver Nuggets,1.5,0.5652173913043478,1.0326086956521738
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,MyBookie.ag,Denver Nuggets,3.5,-105,Los Angeles Clippers @ Denver Nuggets,-3.5,0.5121951219512195,-1.4939024390243902
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,MyBookie.ag,Los Angeles Clippers,-3.5,-125,Los Angeles Clippers @ Denver Nuggets,3.5,0.5555555555555556,2.0277777777777777
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,BetRivers,Denver Nuggets,3.0,-125,Los Angeles Clippers @ Denver Nuggets,-3.0,0.5555555555555556,-1.2222222222222223
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,BetRivers,Los Angeles Clippers,-3.0,-117,Los Angeles Clippers @ Denver Nuggets,3.0,0.5391705069124424,1.769585253456221
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,BetMGM,Denver Nuggets,1.5,-125,Los Angeles Clippers @ Denver Nuggets,-1.5,0.5555555555555556,-0.4722222222222222
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,BetMGM,Los Angeles Clippers,-1.5,-105,Los Angeles Clippers @ Denver Nuggets,1.5,0.5121951219512195,1.0060975609756098
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,Bovada,Denver Nuggets,3.5,-120,Los Angeles Clippers @ Denver Nuggets,-3.5,0.5454545454545454,-1.4772727272727273
2025-04-19 19:48:18+00:00,Denver Nuggets,Los Angeles Clippers,Bovada,Los Angeles Clippers,-3.5,-110,Los Angeles Clippers @ Denver Nuggets,3.5,0.5238095238095238,2.011904761904762
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,DraftKings,Detroit Pistons,7.0,-108,Detroit Pistons @ New York Knicks,-7.0,0.5192307692307693,-3.2403846153846154
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,DraftKings,New York Knicks,-7.0,-112,Detroit Pistons @ New York Knicks,7.0,0.5283018867924528,3.7641509433962264
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,FanDuel,Detroit Pistons,7.0,-106,Detroit Pistons @ New York Knicks,-7.0,0.5145631067961165,-3.2427184466019416
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,FanDuel,New York Knicks,-7.0,-114,Detroit Pistons @ New York Knicks,7.0,0.5327102803738317,3.7663551401869158
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,MyBookie.ag,Detroit Pistons,7.5,-110,Detroit Pistons @ New York Knicks,-7.5,0.5238095238095238,-3.488095238095238
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,MyBookie.ag,New York Knicks,-7.5,-110,Detroit Pistons @ New York Knicks,7.5,0.5238095238095238,4.011904761904762
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,BetOnline.ag,Detroit Pistons,7.5,-110,Detroit Pistons @ New York Knicks,-7.5,0.5238095238095238,-3.488095238095238
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,BetOnline.ag,New York Knicks,-7.5,-110,Detroit Pistons @ New York Knicks,7.5,0.5238095238095238,4.011904761904762
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,LowVig.ag,Detroit Pistons,7.0,-101,Detroit Pistons @ New York Knicks,-7.0,0.5024875621890548,-3.2487562189054726
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,LowVig.ag,New York Knicks,-7.0,-111,Detroit Pistons @ New York Knicks,7.0,0.5260663507109005,3.7630331753554502
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,Bovada,Detroit Pistons,7.0,-105,Detroit Pistons @ New York Knicks,-7.0,0.5121951219512195,-3.2439024390243905
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,Bovada,New York Knicks,-7.0,-115,Detroit Pistons @ New York Knicks,7.0,0.5348837209302325,3.7674418604651163
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,BetRivers,Detroit Pistons,7.0,-108,Detroit Pistons @ New York Knicks,-7.0,0.5192307692307693,-3.2403846153846154
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,BetRivers,New York Knicks,-7.0,-113,Detroit Pistons @ New York Knicks,7.0,0.5305164319248826,3.7652582159624415
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,BetMGM,Detroit Pistons,7.5,-115,Detroit Pistons @ New York Knicks,-7.5,0.5348837209302325,-3.4825581395348837
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,BetMGM,New York Knicks,-7.5,-105,Detroit Pistons @ New York Knicks,7.5,0.5121951219512195,4.0060975609756095
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,BetUS,Detroit Pistons,7.5,-110,Detroit Pistons @ New York Knicks,-7.5,0.5238095238095238,-3.488095238095238
2025-04-19 22:00:00+00:00,New York Knicks,Detroit Pistons,BetUS,New York Knicks,-7.5,-110,Detroit Pistons @ New York Knicks,7.5,0.5238095238095238,4.011904761904762
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,FanDuel,Los Angeles Lakers,-4.5,-106,Minnesota Timberwolves @ Los Angeles Lakers,4.5,0.5145631067961165,2.5072815533980584
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,FanDuel,Minnesota Timberwolves,4.5,-114,Minnesota Timberwolves @ Los Angeles Lakers,-4.5,0.5327102803738317,-1.9836448598130842
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,BetOnline.ag,Los Angeles Lakers,-4.5,-105,Minnesota Timberwolves @ Los Angeles Lakers,4.5,0.5121951219512195,2.5060975609756095
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,BetOnline.ag,Minnesota Timberwolves,4.5,-115,Minnesota Timberwolves @ Los Angeles Lakers,-4.5,0.5348837209302325,-1.9825581395348837
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,BetMGM,Los Angeles Lakers,-4.5,-105,Minnesota Timberwolves @ Los Angeles Lakers,4.5,0.5121951219512195,2.5060975609756095
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,BetMGM,Minnesota Timberwolves,4.5,-115,Minnesota Timberwolves @ Los Angeles Lakers,-4.5,0.5348837209302325,-1.9825581395348837
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,BetRivers,Los Angeles Lakers,-4.0,-114,Minnesota Timberwolves @ Los Angeles Lakers,4.0,0.5327102803738317,2.2663551401869158
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,BetRivers,Minnesota Timberwolves,4.0,-107,Minnesota Timberwolves @ Los Angeles Lakers,-4.0,0.5169082125603864,-1.7415458937198067
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,LowVig.ag,Los Angeles Lakers,-4.5,-104,Minnesota Timberwolves @ Los Angeles Lakers,4.5,0.5098039215686274,2.5049019607843137
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,LowVig.ag,Minnesota Timberwolves,4.5,-108,Minnesota Timberwolves @ Los Angeles Lakers,-4.5,0.5192307692307693,-1.9903846153846154
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,MyBookie.ag,Los Angeles Lakers,-4.5,-110,Minnesota Timberwolves @ Los Angeles Lakers,4.5,0.5238095238095238,2.511904761904762
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,MyBookie.ag,Minnesota Timberwolves,4.5,-110,Minnesota Timberwolves @ Los Angeles Lakers,-4.5,0.5238095238095238,-1.9880952380952381
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,Bovada,Los Angeles Lakers,-4.5,-115,Minnesota Timberwolves @ Los Angeles Lakers,4.5,0.5348837209302325,2.5174418604651163
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,Bovada,Minnesota Timberwolves,4.5,-105,Minnesota Timberwolves @ Los Angeles Lakers,-4.5,0.5121951219512195,-1.9939024390243902
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,DraftKings,Los Angeles Lakers,-4.0,-112,Minnesota Timberwolves @ Los Angeles Lakers,4.0,0.5283018867924528,2.2641509433962264
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,DraftKings,Minnesota Timberwolves,4.0,-108,Minnesota Timberwolves @ Los Angeles Lakers,-4.0,0.5192307692307693,-1.7403846153846154
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,BetUS,Los Angeles Lakers,-4.5,-110,Minnesota Timberwolves @ Los Angeles Lakers,4.5,0.5238095238095238,2.511904761904762
2025-04-20 00:30:00+00:00,Los Angeles Lakers,Minnesota Timberwolves,BetUS,Minnesota Timberwolves,4.5,-110,Minnesota Timberwolves @ Los Angeles Lakers,-4.5,0.5238095238095238,-1.9880952380952381
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,FanDuel,Memphis Grizzlies,13.0,-108,Memphis Grizzlies @ Oklahoma City Thunder,-13.0,0.5192307692307693,-6.240384615384615
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,FanDuel,Oklahoma City Thunder,-13.0,-112,Memphis Grizzlies @ Oklahoma City Thunder,13.0,0.5283018867924528,6.764150943396227
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,DraftKings,Memphis Grizzlies,13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,DraftKings,Oklahoma City Thunder,-13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,13.5,0.5238095238095238,7.011904761904762
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,LowVig.ag,Memphis Grizzlies,13.5,-104,Memphis Grizzlies @ Oklahoma City Thunder,-13.5,0.5098039215686274,-6.495098039215686
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,LowVig.ag,Oklahoma City Thunder,-13.5,-108,Memphis Grizzlies @ Oklahoma City Thunder,13.5,0.5192307692307693,7.009615384615385
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetOnline.ag,Memphis Grizzlies,13.5,-108,Memphis Grizzlies @ Oklahoma City Thunder,-13.5,0.5192307692307693,-6.490384615384615
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetOnline.ag,Oklahoma City Thunder,-13.5,-112,Memphis Grizzlies @ Oklahoma City Thunder,13.5,0.5283018867924528,7.014150943396227
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetRivers,Memphis Grizzlies,13.5,-113,Memphis Grizzlies @ Oklahoma City Thunder,-13.5,0.5305164319248826,-6.484741784037559
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetRivers,Oklahoma City Thunder,-13.5,-108,Memphis Grizzlies @ Oklahoma City Thunder,13.5,0.5192307692307693,7.009615384615385
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,MyBookie.ag,Memphis Grizzlies,13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,MyBookie.ag,Oklahoma City Thunder,-13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,13.5,0.5238095238095238,7.011904761904762
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,Bovada,Memphis Grizzlies,13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,Bovada,Oklahoma City Thunder,-13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,13.5,0.5238095238095238,7.011904761904762
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetMGM,Memphis Grizzlies,13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetMGM,Oklahoma City Thunder,-13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,13.5,0.5238095238095238,7.011904761904762
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetUS,Memphis Grizzlies,13.0,-110,Memphis Grizzlies @ Oklahoma City Thunder,-13.0,0.5238095238095238,-6.238095238095238
